0xProto	0xProto Nerd Font	OFL-1.1-no-RFN	2.300	oxproto	A programming font focused on source code legibility	true
3270	3270 Nerd Font	BSD-3-Clause	3.0.1	font3270	Derived from the x3270 font, a modern format of a font with high nostalgic value	true
AdwaitaMono	AdwaitaMono Nerd Font	OFL-1.1-no-RFN	32.4	adwaita-mono	The monospace typeface for GNOME	true
Agave	Agave Nerd Font	MIT	37	agave	A small, monospace, outline font that is geometrically regular and simple	true
AnonymousPro	AnonymicePro Nerd Font	OFL-1.1-RFN	1.002	anonymous-pro	Inspired by Anonymous 9 on Macintosh, since 2009, distinct `O`, `0`, `I`, `l`, `1`	true
Arimo	Arimo Nerd Font	Apache-2.0	1.33	false	Metrically similar to Arial, pan-European WGL character set, sans serif	false
AtkinsonHyperlegibleMono	AtkynsonMono NF	OFL-1.1-RFN	2.001	atkinson-hyperlegible	A monospaced font designed to improve legibility and readability for individuals with low vision	true
AurulentSansMono	AurulentSansM Nerd Font	OFL-1.1-no-RFN	-	aurulent	Sans serif, designed by Stephen G. Hartke which also created Verily Serif	true
BigBlueTerminal	BigBlueTermPlus Nerd Font	CC-BY-SA-4.0	-	bigblue-terminal	Nostalgic, closely based on IBM's 8x14 EGA/VGA charset	true
BitstreamVeraSansMono	BitstromWera Nerd Font	Bitstream-Vera	1.1	bitstream-vera	Dotted zero, compact lowercase characters	true
IBMPlexMono	BlexMono Nerd Font	OFL-1.1-RFN	2.004 (6.4.0)	plex-mono	It's global, it's versatile and it's distinctly IBM	true
CascadiaCode	CaskaydiaCove Nerd Font	OFL-1.1-RFN	2407.24	cascadia-code	A fun, new monospaced font that includes programming ligatures and is designed to enhance the modern look and feel of the Windows Terminal	true
CascadiaMono	CaskaydiaMono NF	OFL-1.1-RFN	2407.24	false	Like Cascadia Code but without any ligatures	true
CodeNewRoman	CodeNewRoman Nerd Font	OFL-1.1-no-RFN	2.0	code-new-roman	Tunable, slashed zeros, compact smaller characters	true
ComicShannsMono	ComicShannsMono Nerd Font	MIT	1.3.1	false	The very typeface you’ve been trained to recognize since childhood	true
CommitMono	CommitMono Nerd Font	OFL-1.1-no-RFN	1.143	commit-mono	An anonymous and neutral programming typeface	true
Cousine	Cousine Nerd Font	Apache-2.0	1.211	cousine	Similar to Courier New with better readablitiy, dotted zeros	true
D2Coding	D2CodingLigature Nerd Font	OFL-1.1-no-RFN	1.3.2	d2coding	A coding font for Koreans. This is the variant with ligatures.	true
DaddyTimeMono	DaddyTimeMono Nerd Font	OFL-1.1-no-RFN	1.2.3	daddytimemono	A monospaced font for programmers and other terminal groupies	true
DejaVuSansMono	DejaVuSansM Nerd Font	Bitstream-Vera	2.37	dejavu	Dotted zero, based on the Bitstream Vera Fonts with a wider range of character	true
DepartureMono	DepartureMono Nerd Font	OFL-1.1-no-RFN	1.422	departure-mono	A monospaced pixel font with a lo-fi, techy vibe	true
DroidSansMono	DroidSansM Nerd Font	Apache-2.0	1.00-113	droid-sans	Good for small screens or font sizes	true
EnvyCodeR	EnvyCodeR Nerd Font	OFL-1.1-RFN	0.79	envy-code-r	Fully-scalable monospaced font designed for programming and command prompts	true
FantasqueSansMono	FantasqueSansM Nerd Font	OFL-1.1-no-RFN	1.8.0	fantasque-sans	"Wibbly-wobbly handwriting-like fuzziness", takes some inspiration from Inconsolata and Monaco	true
FiraCode	FiraCode Nerd Font	OFL-1.1-no-RFN	6.2	firacode	Programming ligatures, extension of Fira Mono font, enlarged operators	true
FiraMono	FiraMono Nerd Font	OFL-1.1-no-RFN	3.206	fira	Mozilla typeface, dotted zero	true
GeistMono	GeistMono NF	OFL-1.1-no-RFN	1.401	geist	Monospaced typeface designed to be used in code editors, diagrams, terminals, and other textbased interfaces where code is represented	true
Go-Mono	GoMono Nerd Font	BSD-3-Clause-Clear	2.010	go-mono	Created specifically for the Go project, looks particularly clear for use with the Go language	true
Gohu	GohuFont 14 Nerd Font	WTFPL	2.0	gohufont-14	Bitmap font, tall capitals and ascenders, small serifs	true
Hack	Hack Nerd Font	Bitstream-Vera AND MIT	3.003	hack	Dotted zero, short descenders, expands upon work done for Bitstream Vera &amp; DejaVu, legible at common sizes	true
Hasklig	Hasklug Nerd Font	OFL-1.1-RFN	1.2	hasklig	Monospaced ligatures, makes composite glyphs (e.g. ->) more reabable, especially in Haskell	true
HeavyData	HeavyData Nerd Font	LicenseRef-VicFieger	1	false	Novel and unique design, dotted zero	false
